Frame,Camera_Read_ms,MediaPipe_ms,Logic_ms,Input_ms,Total_System_Latency_ms,Gesture
0,975.9550000308082,48.59560000477359,0.000700005330145359,0.0014999532140791416,48.6051999614574,neutral
1,50.64010003115982,48.18149999482557,0.000600004568696022,0.000900006853044033,48.18879999220371,neutral
2,59.61980001302436,43.796799960546196,0.000400003045797348,0.000900006853044033,43.80349995335564,neutral
3,61.56949995784089,45.7398000289686,0.000600004568696022,0.001400010660290718,45.74920004233718,neutral
4,63.374999968800694,46.96840001270175,0.000600004568696022,0.001400010660290718,46.97930003749207,neutral
5,47.43249999592081,48.40999998850748,0.000500003807246685,0.001200009137392044,48.41839999426156,neutral
6,63.18569998256862,45.97410000860691,0.000800006091594696,0.000800006091594696,45.97959999227896,neutral
7,61.53269996866584,47.45140002341941,0.000900006853044033,0.00100000761449337,47.46760003035888,neutral
8,60.99740002537146,48.25289995642379,0.000600004568696022,0.00100000761449337,48.26179996598512,neutral
9,78.19550001295283,45.18479999387637,0.000500003807246685,0.000700005330145359,45.191199984401464,neutral
10,62.28839996038005,122.16219998663291,0.000300002284348011,0.000900006853044033,122.16740002622828,neutral
11,50.79389997990802,46.16730002453551,0.000800006091594696,0.000900006853044033,46.17540002800524,neutral
12,61.92479998571798,49.33619999792427,0.000400003045797348,0.00100000761449337,49.34349999530241,neutral
13,63.70449997484684,47.161300026346,0.000500003807246685,0.001100008375942707,47.169300029054284,neutral
14,61.40090001281351,49.5803999947384,0.000400003045797348,0.000900006853044033,49.587099987547845,neutral
15,64.19219996314496,45.897900010459125,0.000400003045797348,0.000900006853044033,45.90450000250712,neutral
16,79.46290000109002,49.26040000282228,0.000600004568696022,0.001900014467537403,49.2693999549374,neutral
17,62.02610000036657,45.43509997893125,0.000600004568696022,0.000600004568696022,45.440200017765164,neutral
18,78.2065000385046,48.02649997873232,0.000500003807246685,0.000800006091594696,48.032899969257414,neutral
19,61.92029995145276,161.51490004267544,0.04329998046159744,0.000400003045797348,161.56460001366213,jump
20,6.575600011274219,83.0147999804467,0.02889998722821474,0.000400003045797348,83.05020001716912,jump
21,6.793499982450157,83.01880001090467,0.045199994929134846,0.0006999471224844456,83.07170000625774,jump
22,7.293200003914535,77.51490001101047,0.03570003900676966,0.000400003045797348,77.55759998690337,jump
23,8.168600033968687,81.66969998273998,0.02039998071268201,0.000400003045797348,81.69459999771789,jump
